Role,Start timecode,End timecode,Speaker,Transcript,,
Q,00:00:02;23,00:00:04;01,Sade,What is your full name? ,,
A,01:05:30;02,01:05:47;11,F35,So I don't how why would the siblings out there know what I did wrong. They expect me to do that again. So I never never liked that. So I try to tell the truth in a nice way. 
Q,01:05:47;11,01:06:08;10,F156,When you hit a girl. Did you oh no that was I was living in fear in everything and do it in school. That was so much was so far away from the school in time. You. Know this is when we all. 
A,01:06:11;10,01:06:16;14,F10,Just forgot about it. Right. 
A,01:06:16;26,01:06:29;15,F11,Best friends who are my best friends growing up issues. 
A,01:06:31;02,01:06:35;22,F151,I really didn't have any best friends. The first. 
Q,01:06:37;22,01:06:38;05,F15,Oh my. 
C,01:06:38;08,01:08:25;08,F16,Oh my family I can't get out of siblings because all of them and I wish all of my babies each and every one from the beginning just now which. Darlene was the first child my sister's first. I used to walk and take her from Woodbridge take on a ferry for a ride and things like that. And I wouldn't say take the bus onto the ferry and come home to get out of the House which is good but the family that's I try to treat everybody right the same way. So. Yes all the loving caring family do the best they can. Yes try to be after a sister has had to be there for her or her family you know. My brother in law when he got depressed. Be there for him. They accused me of going with them a friend of mine accused me of going with him. So was depressed he ran off in order tried to commit suicide as I saw to try to get him out of the House. Well give him something to do that was the hardest thing that their kids we're going with it. Brother must you have a problem. You don't know I love you so much she's been a friend but not a close close. 
A,01:08:26;18,01:08:45;04,F151,And I was surprised at her saying something like that. Was that what I could get him out to dances and things. Come on that day and I called him everyday. You're going to get him out of the house. You know. It wasn't even your brother in law. With. 
A,01:08:45;12,01:08:57;24,F9,Me. You always that was him as he's always depressed getting him out of the House he ran off in the water trying to commit suicide. 
A,01:08:58;18,01:09:05;29,F33,So no no no I said it's a blessing in my mind that was my sister's husband. 
A,01:09:06;12,01:09:15;10,F103,Well you said I would try to put my sister's husband you don't do things like I did. 
,01:09:15;15,01:09:16;23,F9,Help him out. 
A,01:09:16;24,01:09:24;03,F103,He was so depressed. 
A,01:09:24;13,01:09:32;02,M19,So you have the friends I have friends like a friend. 
A,01:09:32;19,01:09:49;28,F16,There is that the thing is Alabaman. She's in she's got friends with her at work. But. They were so envious of me getting this job being the first female. 
A,01:09:50;21,01:11:00;19,F33,And being black all the black and white was in tears. So they accused me of so many things and then it was nasty to me. But I just kept my head up and smile and get right inside out of Westinghouse she made airconditioners and I had like a at assembly line I worked on the assembly line. And that I finally got. Promotion. And they used to do the wiring and the soldering the things they used to do there and I got promotion I had like 150 people on the line. And I was responsible for them to do the job right. And to get the production of that on time. And people was envious. Of me getting it. Even in management there was interviews. But I had a wonderful supervisor. He's originally from Virginia. 
A,01:11:02;12,01:11:30;04,F34,And also he was he was the first black in management. And he's from Virginia. He had a real southern accent and he asks me about becoming a supervisor and his daughter had kidney failure. He found that my sister grandmother had. Kidney failure. 
A,01:11:30;28,01:11:40;15,F33,And he used to go in and call me and ask for a meeting. And we sit down we talk about. His condition and his daughter's condition. 
A,01:11:41;02,01:11:47;20,F34,And would that be very close. And they are saying are you going with him working with him. 
A,01:11:47;20,01:11:57;12,F135,We talked about his fight about my sister's condition because his daughter was having the same problem. And it was getting worse and worse. 
A,01:11:57;12,01:12:08;27,F34,That's just like my sisters had that way and they were saying I was going with him. So I said well until the day we are still good friends. But. 
A,01:12:10;11,01:12:16;08,F33,White black and spanish Puerto Ricans and I was so so was so nasty and envious. 
A,01:12:16;08,01:12:20;20,F35,So I used to walk back down looked straight ahead Hello smile on I. 
A,01:12:20;21,01:12:25;28,F9,It was the one to speak otherwise I just kept walking. 
A,01:12:26;03,01:12:32;14,M29,So I retired. 
A,01:12:35;13,01:12:36;15,M28,Yes. And was. 
A,01:12:38;19,01:12:46;16,F35,I guess a hell of a lot because you know like I was there for him to help him with the daughter's condition. 
A,01:12:46;27,01:12:54;05,F137,You're right. I could comfort him and be there for him. Because when she first started out. 
A,01:12:56;25,01:12:58;29,F161,He couldn't believe it. And then. 
A,01:13:01;20,01:13:12;06,F9,We started talking and that and I told him about my sister and that that was so close you know. 
A,01:13:15;14,01:13:19;15,F33,Yes. And I got a sense it's a day. We're still friends. 
A,01:13:20;25,01:13:35;06,F9,I talk to him about three weeks ago now. I owe him a full life and this Christmas card always still if Rachel Levy was all my retirement he still was so good friends with us. 
A,01:13:35;06,01:13:47;07,F34,His daughter lived about six seven years after my sister. After she passed. He knew. 
A,01:13:48;04,01:14:09;29,F9,She had a kidney failure and she built of her own rejection. And that was it. So that's how we get we say so close. It was never age. You know you hit this because you. 
A,01:14:10;19,01:14:16;02,SF2,Know I have to give a shot something to it. What is this is walking. 
A,01:14:18;22,01:14:34;14,F49,Thinking like 300 about 300 plus. It's like it's one day over there. 
Q,01:14:34;14,01:14:41;26,F162,Why. 
A,01:14:43;19,01:14:47;29,F63,I'll let myself go. I love you. 
Q,01:14:49;10,01:14:54;08,F3,OK. You think about where you want your life to be. 
Q,01:14:57;03,01:15:09;02,M33,So the next question is how would you describe a perfect day when you were young. Perfect day when you're young and this happens at home. 
A,01:15:09;19,01:15:14;07,F90,That everything went well. Home friends and all. 
A,01:15:15;14,01:15:29;07,M33,So say you're in this scenario. Like when you were a little girl were teenager what. What are some things that you might. Think. That story is pretty good too. 
A,01:15:32;18,01:15:40;28,F80,Hanging out with family and go shopping. That was a perfect day. That was the family. The family was shopping and purchased. 
A,01:15:42;05,01:16:01;14,F71,Things that the family wanted. So why is this happening for them. If you think your life would be like. 
A,01:16:07;13,01:16:16;04,F78,Yes I plan my life to be different. I was going to get married and have. Four children. But due to having surgery young. 
A,01:16:21;04,01:16:37;27,F87,My friends I was engaged. That's. Why. They wanted children and I and. Want to say good now children so I just broke the engagement. So I think when they have a family. 
A,01:16:39;14,01:16:52;03,F80,And they want to talk about children my sister and talk about children and my rather than talk about you like I did I was going to have to into two girls and two boys. You talked about. 
Q,01:16:55;12,01:16:59;25,F71,Procedure that they had the surgery. 
A,01:17:00;03,01:17:08;19,F163,I wonder why I had. I had. Started out I had when I got my monthly period. 
A,01:17:09;13,01:18:36;22,F87,I started getting cramps my somebody hurt me so bad. And I went to Dr.. And they told me I had to sit on my ovary in a tube on the womb and I had to take it medicine and this. It told me I had to have this hysterectomy. I told the doctor just let me try to have at least one child. They said no you can't. Get condition you can't. I thought I'll go out of my mind. And that's what I've wanted to do. I had to go along with it. My. Brother came to the hospital that night. Twelve o'clock at night trying to console me and the family trying to console. We came back 12 o'clock that night. I had to have it because I had. A cyst and a tumor and all that and then I have so many operations up to that full operation that. So that's why I'm. Deprived of not having children. So I guess it wasn't meant to be friends she said and fiance. They like to talk about shoes. And I couldn't. 
A,01:18:38;22,01:18:52;08,F164,Tell them I couldn't have been Bob so I never did. And you say it's is it's fulfilled. 
A,01:18:52;09,01:19:31;23,F80,Thank god I have. I was here for my mother. She passed my sister's children and my brother's children in a different way. Because for me like I say God makes no mistakes and. With my sister passing young. And. Being have a family. And like I said my brother in law. Having. My. 
A,01:19:34;26,01:19:52;12,F87,Helping the family. You can't couldn't be all the family that said Thank God like us he was just to pass and help the children. If the children have been raised the children as I can say God makes no mistakes. 
A,01:19:52;16,01:19:56;13,M18,That's what you do. 
A,01:19:56;26,01:20:11;12,F78,You don't know I don't dwell on because it was her passing as it is here I La Raza. I can say Stephanie was just six when she passed. 
A,01:20:12;14,01:20:31;18,F90,And I helped him raise them with him being depressed and everything. So what could I do. Try to be supportive of it and that's what. Caused me to do this. I would say well why take her and have me. 
A,01:20:32;19,01:20:41;23,F77,With you on. Oh and I. Want it. 
A,01:20:45;28,01:20:53;02,F78,It just broke my heart the thoughts of that. And I said Well like you say God no means makes no mistakes. He. 
A,01:20:54;15,01:20:57;15,F163,Helped out so I. 
A,01:20:57;28,01:21:09;21,F90,His reasoning. I can't question God. You know I left it at that. 
A,01:21:09;21,01:21:36;12,M18,So we talked a little about memories. But do you have any childhood memories bad or do that just the down. I. Mean the best things that happened to you. How old were you when you had to get this. No I was I was I was I was. 
Q,01:21:39;09,01:22:09;02,F90,21. The same goes for anyone who is such suffering. I've got my period so I'm having my period. I guess after a couple of months I start getting cramps. And that's why I live it as I got older. Do you think your case cases so deal with. 
A,01:22:09;16,01:22:28;02,M18,That. I don't know because they try give different medication. And I. Had a. Sits on the ovary. 
A,01:22:28;16,01:22:44;20,F87,And a tour on the home before they did the hysterectomy. Then they told me that the. Had to do this directive. And that's why I said let me just try. And they said no you can't. 
A,01:22:45;22,01:23:00;06,M13,Do that. So I'm sure I would have that will lead into something else and it's something I forgot what it was. Is I would never have been able to have shielded. 
A,01:23:11;27,01:23:23;10,F17,Against Mississippi did best for the family I'm here for each other and doing the best I can. 
A,01:23:23;22,01:23:42;26,F158,And the shopping like I'm doing now is going out of place. Some people don't know what a pleasure that is. And I said God is so good. He makes no mistakes. And supposed to go out which is all the time each and every time. 
A,01:23:43;05,01:24:10;15,F27,I mean everything in the world for me. What is your town. That good games. Play. 
A,01:24:12;24,01:24:49;27,F158,Play play. You know why don't you cover the thousands. Well you know I thought when of the day and I know it says I did. I didn't play that well with his friends because I didn't have any friends. I'd say why they didn't want it bothers me because we just so the family in town. No there wasn't anybody there in school that was really around to be friends with. 
A,01:24:49;29,01:25:11;19,F63,So it was more of this family as we just playing and hopscotch and jump rope and things like that. That's what we did is we did for see I forgot all about them. 
A,01:25:12;02,01:25:19;25,F23,I got to play cards. Now I'm so sick and all that I forgot all about ever what we did. 
A,01:25:24;16,01:25:51;28,M35,Did you play with anything like song that went down in Ohio. Jump rope. I'm saying that song like double dutch you know singing so that's like you say I've been around the world. But yeah you play that man that and. 
A,01:25:52;02,01:25:55;10,F34,Like I say it's hard to say. 
A,01:25:57;02,01:26:19;15,F158,When you're a that's like you alone and I did I didn't regret it because the South was not around to be friendly with you to be nice with and that was just that's just the way it was. So but. It is blessed that they had us that was a loving caring family which meant everything. 
A,01:26:19;29,01:26:25;07,F11,You know. That's what it meant. 
A,01:26:27;28,01:26:36;06,F5,Also with my dolls I little the dolls changing their clothes and their hair and all that. 
A,01:26:36;14,01:27:11;04,M35,You know that's what I'm thinking that the dolls represent the young black. Why would you say this is all of all white dolls. 
A,01:27:11;12,01:27:34;17,F158,It was a pleasure because you didn't have them. And that's what you're saying. So that's what we play with. Yeah. And that's what we play with. It was a pleasure that I had the dolls that play with you know as my main thing. Now all home made you. 
A,01:27:36;25,01:27:47;11,F166,Know what Mother Mother would buy the toys and the toys. Like I said toys that we play. You know that was like. 
A,01:27:49;08,01:27:53;06,M36,When you or your mother like. 
A,01:27:55;13,01:28:05;09,F12,Yes it makes sense because of your best father. 
A,01:28:05;13,01:28:42;14,F94,I made the matching outfits. Jack things or something. So that's. You know home entertainment. Radio and I had a few records a record player of. Like your name some day some day artist. 
A,01:28:59;14,01:29:26;14,F158,I should like Count Basie Dizzy Gillespie know they play different all different music that is slow dance so they call it the slow drag and they call slow now they know the slow dragging a slow dance you know and things like that. 
A,01:29:27;11,01:29:31;25,F3,So you. Right. 
A,01:29:40;14,01:29:44;05,F37,This thing with it. 
A,01:29:44;08,01:29:52;29,F16,No no no no no. Just a few just a few. 
A,01:29:53;06,01:29:57;13,F23,You see what the radio said about this and really I didn't see very much. 
A,01:30:00;03,01:30:15;21,F103,This album is so so so so much. So I was like OK mother didn't like that much. 
A,01:30:18;21,01:30:30;14,F158,Followed here sit there on the news hegemonism stuff like his room there in the kitchen now what have you you know. 
A,01:30:30;15,01:30:42;28,F37,So it involves a mother should know was this the right tone. 
A,01:30:48;12,01:30:54;19,F156,No it mother told us that those stories in this story. 
C,01:30:55;07,01:30:57;06,F12,Right. Right. 
A,01:30:58;21,01:31:07;16,M2,Know what she says fairytales that's all. 
A,01:31:07;23,01:31:39;23,F12,I just it. No no I got so much. Get so. Tradition making. 
A,01:31:41;21,01:31:45;29,F3,I said I just live the the dog was not used. 
A,01:31:46;09,01:31:58;05,F94,So my own clothes as near as I grow up I used it so that way you know and things like that I used to do. Yeah. Thank you so much. 
A,01:31:58;06,01:32:20;19,F31,So now loving and caring for each other. Doing the best you can by all. 
A,01:32:21;09,01:32:32;22,F17,And not hurting anyone's feelings. There's a misunderstanding you can resolve it by talking and without giving a nasty attitude and being very. 
C,01:32:41;04,01:32:44;08,M2,Right no matter what. 
A,01:32:44;08,01:32:51;24,F63,Call me a light water. You're here for each other and to do the right thing. Somebody made a mistake. 
A,01:32:51;27,01:33:17;12,M2,Listen to them and helped to resolve it and be there for them and that's what the most because it describes was means for us like you describe exactly right. 
A,01:33:26;17,01:34:04;05,F158,Everything you name it. I got to say it's unexplainable because you show it. You let them know that you're there for them. And because of what it is or how. It's just hard to put into. Other words that I'm not the person that you love me and don't just say it you mean it from the heart. It means for me your heart. It sure is from now. And you can't love because it's from the heart. 
A,01:34:04;07,01:34:12;15,F12,You can't buy it. Sense is priceless right. Right. 
A,01:34:12;15,01:34:27;29,F166,More important it is let's say you can buy it was more important than you know loving and caring. If you don't have a penny for them which you loving and Care Express. 
A,01:34:35;22,01:34:40;02,F88,Talk about it. I shall try to get the family and all know. 
A,01:34:40;20,01:34:46;29,F78,How I love and care for them. And I'm here for them. You know everything I can do. 
A,01:34:48;28,01:35:02;21,F158,For them. Daza how small or how large or what if it's just a kind word that I'm here for them to say just to go out and get something I can get a gift for them. 
A,01:35:02;23,01:35:26;23,F17,That's why I was singing like that because that's what it means to me onco care what you have. You can't say good thing with you when you leave. And check out and go to another world. Put your shoulder to love and care while you're with them. So when they say actions speak louder than words comes. 
A,01:35:34;22,01:35:38;25,F63,Yes. At times it all depends on what it is. 
A,01:35:39;22,01:36:14;29,F3,But it's also right to write that the you know self love like you being selfish in other words no selfish love that were into no no. 
A,01:36:14;29,01:36:27;16,F158,Because you know why if you did said that self love you just said by yourself you just there in the world of your own and didn't do the rest. 
A,01:36:27;29,01:36:42;22,F154,Well I don't mean like loving yourself as lovely as ever. No I mean like loving everyone. Loving yourself and loving everyone. Else as much as you love it. 
A,01:36:42;24,01:37:05;23,F169,So I believe in loving them more of myself because they are here for you and you are here for them in this show your love that means everything in the world if you don't show that you love and care. 
A,01:37:06;17,01:37:16;21,F53,It's a sad thing just as being a selfish person. And what it will do for yourself you're just there alone. 
A,01:37:17;08,01:37:39;24,F3,Yes. So like you said. You know when. You said people don't. Think your. Culture people don't think you deserve it. 
Q,01:37:41;19,01:37:45;18,M37,But how do you think it's important. 
A,01:37:47;28,01:38:17;16,F53,Yes because you're right. Right. That way you accept this because this is me and I'm proud of me and then saying your love and you care for yourself that part that you say don't put yourself down because of anybody else you love you care for yourself. And then as fighting show the loving care for someone else but just you could just be me. You don't not amount to anything. 
A,01:38:17;29,01:38:40;10,M36,So you feel like if you can't accept you can't you can't accept it. Right. Right. Same thing so loving yourself other people that way. Right. So is it fair to care for some of the people. 
Q,01:38:40;14,01:38:51;05,F157,How do you practice. So can like for us. 
A,01:38:56;07,01:39:08;11,F53,I have pride in what I want and what I want to do and I want to see good results. Then I'll go and take care of these things. Do these things get the good results. 
A,01:39:08;14,01:39:38;18,F94,That my look what I did look like accomplished to get this get this far and to get what I want. That's what makes me feel good that way. Than that think there's any other way. Like I said I did this because of I'm so proud I want to look at this love for me. You know. That's what makes me feel proud that way. 
Q,01:39:38;18,01:39:39;29,F3,Was it difficult. 
A,01:39:41;02,01:40:00;19,M37,Yes. Was it difficult before. Yes. 
A,01:40:00;23,01:40:14;20,F5,No. Because you know why. I know me and I know how I am because of what who I am what race I have where I come from. 
A,01:40:14;23,01:41:14;06,F63,I have the pride and I want to move forward because of what is or isn't. And I would never let myself down to lower myself to something like that. Because whatever whoever however I'm doing the right thing and that's what counts. Oh yes right. Like I say if I make any mistakes help me please help me forgive me and turn me around. Yes. And have they given for the mistakes I've made. And every night I tell them that they give me and I'm not I'm aware of mom as they showed me and helped me and turned me around. 
Q,01:41:14;07,01:41:48;23,M2,How do you teach people that you love them so how do you teach them how to accept them. How do you teach them when they are eyes tried to reach out. Tell them regardless of what when who you are Glorioso keep yourself up with pride. Because. 
A,01:41:49;04,01:42:24;02,F63,You are the most important person there is because if you going to lower yourself who will go on the help you if you don't you're going down yourself all the time but have your pride and keep yourself look up regards to make mistakes turn around to correct your mistake and then that's why you keep moving you. 
A,01:42:28;17,01:42:38;27,F5,Yes so let them know. What if you don't he is going to be down. And down have down always have the pride. 
A,01:42:40;12,01:43:03;07,F17,And do the right thing until you are proven wrong when you're proven wrong. He's OK you're correct the mistake I made. And don't keep saying that. OK then. No I didn't make the mistake. But. Until you are proven wrong. Keep your pride up and do the right thing. And if you are proven wrong. Oh I didn't realize you're right. 
A,01:43:03;10,01:43:11;16,M2,I made a mistake that up the good work in helping me. 
A,01:43:14;16,01:43:19;17,F53,You learn you learn from the mistakes all of that. 
A,01:43:19;19,01:43:41;29,F63,I know that you learn from the mistakes because until then you're always right. Oh yes I didn't realize that was that wasn't right. I made a mistake there. Like I said you said God please forgive me and whoever the person was forgive me for the mistake I made. You know I didn't realize at the time and I made a mistake. 
A,01:43:42;22,01:43:45;16,F16,Yeah they have mercy upon us. 
A,01:43:45;17,01:43:48;03,F18,That's what we have to do. 
C,01:43:51;22,01:43:55;09,M37,Oh yes. 
A,01:43:57;02,01:44:25;12,F63,I have faith in God and faith in myself and I put faith in people up until they let me down. And I like to do too. And I thank God. Morning and night. And during the day every day of my life and God is to protect us keep yourself safe. Out of all hurt harm or danger on and doing the right thing by all means forgive us for us. 
A,01:44:25;29,01:44:31;14,F169,And I mean that from my father my every day of my life. 
A,01:44:36;28,01:44:55;02,F6,Yes. All right. Do you think the faith that you have in other people is something that you just automatically have until they prove you're wrong. Or do you think it's something that. They have to. 
A,01:44:58;02,01:45:04;29,F4,Like they have to yes. 
A,01:45:05;13,01:45:30;22,F5,I see I have faith in them and until they're proven wrong because of how can I not have faith because doubting that people have the faith in them prove it wrong. Oh yes. All the faith I haven't you. 
A,01:45:30;28,01:46:26;14,F6,You let me down like that. That's. No question about was your. Racial bias. I know that is all black what African-American from the beginning and say This is my thing on that day and Beck and rather than let those would in the. 
C,01:46:28;02,01:46:33;17,F9,Oh oh oh that's how you know what. 
A,01:46:33;24,01:46:52;25,F10,You know I'm not just giving that up is bothering you. OK. OK. So you're African-American. 
A,01:46:56;13,01:47:05;21,F3,Prior to slavery. Right. You know we don't really know this. Right. 
Q,01:47:05;22,01:47:23;16,F13,So where is your mom's know yes I can just remember them being from Georgia. 
A,01:47:25;19,01:47:27;19,F12,And that's it. 
A,01:47:28;02,01:47:45;13,F3,My mother and mother and the father all died Juju is now generating OK. 
A,01:47:45;23,01:47:51;23,F17,Grandma great grandmother she's an Indian in her but I don't know what you know. 
A,01:47:52;02,01:48:02;15,F6,I don't know it's because I left. 
A,01:48:02;16,01:48:19;26,M7,Well you know so as far as you know as far as you can remember both your mother and father are from pretty much where you are. Right. 
Q,01:48:20;19,01:48:39;16,F8,So pastime your holiday tradition. 
A,01:48:39;28,01:48:48;22,M8,Either way back before you were a child. Now Thanksgiving tradition. 
A,01:48:49;23,01:48:56;03,F23,It's the same old traditions same as they have today. That's all I saw. 
A,01:48:56;17,01:49:08;16,F19,So you say I mean the holiday it's the holidays to celebrate them the holidays. 
A,01:49:08;16,01:50:00;10,F12,Was there some specific food that Sally Cook ever could. So so so that's what bad stuff was suffering from that was it when you came a tradition. Same tradition the same food that was eating the collard greens. I would say. Potatoes are right which is dish. Maybe a place you. 
A,01:50:03;11,01:50:05;19,F64,Know all that much vacation. 
A,01:50:05;23,01:50:09;13,F3,We didn't shop. 
A,01:50:09;28,01:50:15;13,F23,This is as I say it's a holiday shopping that was addition for the holidays. 
A,01:50:16;22,01:50:30;21,F27,So there's the same thing now you know going to the shelf and being happy that way in here each other. 
A,01:50:34;15,01:50:34;25,F3,Yes. 
A,01:50:43;21,01:51:03;08,F25,Uses my siblings here because that's the main thing because it was we were close like cousins the ones that Filion and those close calls cosied I'm saying like I have with your children. 
A,01:51:03;08,01:51:12;21,F23,Now this is the use of my whole life. I don't know what I would do without you. I'm not saying because you I mean they're not. 
A,01:51:13;13,01:51:38;25,F27,Yes. You mean everything in the world to me and Stephanie and her sister's children grandchildren and my brother and his grandchild. So it means every everything remember the stories that will be told by others. Said. 
A,01:51:47;13,01:51:48;29,F28,I can't think of anything. 
Q,01:52:03;18,01:52:20;02,F29,Every day. Like any classic family jokes or songs. 
A,01:52:29;09,01:52:45;28,F16,Yes I know he remembers them. He could tell them like mad. All the time. I don't remember them. Lives were his jokes. Every day as a joke. 
A,01:52:46;10,01:53:03;19,F12,I mean even though this is the loving care and the touching and the being of value that's that's the that's a thing. 
A,01:53:05;02,01:53:27;18,F27,That's what means everything in the world to me. Being a part here for you and being a part of you know that's that's my whole life. I don't know what I would do without just telling you. So I try to tear down to bring his grandchildren over and get over. 
A,01:53:27;20,01:53:36;10,F35,And I still have his children in the bed gets on the bed for Christmas. Is this. Show you know. 
Q,01:53:38;22,01:53:45;24,F29,This is what you know about his family. I really though. 
A,01:53:49;23,01:53:54;15,F38,I don't know. But. Back in the. 
A,01:53:56;25,01:54:25;06,F25,Because it wasn't like it was and I quote like those in Washington. It was like it wasn't close said Do you know anything about our generation before you know. 
A,01:54:50;25,01:54:57;26,F16,Curve she is was she married him it wasn't. Curry. 
Q,01:55:05;02,01:55:12;23,M3,You think that they were the wash right. 
A,01:55:15;08,01:55:18;11,F16,Right. 
A,01:55:20;29,01:55:26;16,F36,Being a slave. You know the thing about me you know. 
A,01:55:38;03,01:55:52;28,F13,Any traditional first name nicknames and your fixed Rodney is I'm jealous. I'm sorry I didn't mean to interrupt you. 
Q,01:55:53;02,01:56:00;28,F12,I know what the traditional first names are in your family. 
Q,01:56:03;02,01:56:18;25,M3,Now tell me like someone so those are the sounds of of thing. 
A,01:56:20;07,01:56:34;23,M8,Let me even say play Bezzerides middle name is my name is Carol My name is Rob. 
A,01:56:34;29,01:56:43;26,F6,I don't I don't have any have any I know like that nothing. 
C,01:56:59;04,01:57:12;17,F46,You know on it. Oh. 
Q,01:57:14;08,01:57:20;12,F49,You started by your family or your family first you know. 
A,01:57:26;15,01:57:27;13,F3,No don't. 
A,01:57:37;12,01:57:55;14,F16,Oh I see. So when you first this I just said turned 12 so I just got. I just. 
A,01:57:58;06,01:58:09;24,F51,Hate it when my Sarena looking OK. 
A,01:58:28;29,01:58:30;18,F53,This is 17 years old right. 
A,01:58:30;21,01:58:35;06,F3,Year 17 years. 
A,01:58:35;08,01:59:52;16,F53,No you just said you've got 18. Did you go to 77 percent of voters. 47 I guess because at the My birthday isn't here yet. Year. Why I was asked. So what. You said 47 47. Did you remember what was going on with Don't you remember the. 1947 civil rights roles before the. King like the South so segregated. Is. 
A,01:59:57;21,02:00:16;06,M8,Segregated South in the same way that you said that just like people with the right it wouldn't be like Oh right. That is a way of life. 
A,02:00:25;28,02:00:34;17,F57,This and I never thought of anything like this. I'm just asking. 
A,02:00:38;01,02:00:54;06,F60,But I mean I think we can get more into that later. So what does your thinking when you can. 
A,02:00:58;22,02:02:56;25,F64,Just just close enough back if you execute that there are thing we have got you. So close and then no because that apartment that he doesn't have that much room. No one has been closer to him. How did you get. My mother was not on the train on the train to the train. So he's present from this frozen suitcase and a little suitcase like that. What was the journey like. This moment. It was exciting but it was tiresome. Calls coming from Georgia up to here. I it was tiresome. Did you just. No no no multiple. That's a train that's how we get the train. You remember where you stopped. You know what. I just turned 12. It was tiresome. Are you excited. Excited about coming those. Had you heard stories about that a lot. More liberal than to say it was one liberal and. Some change. 
Q,02:02:57;07,02:03:05;25,F70,Oh yes. Which family members came and stayed. 
A,02:03:08;07,02:03:25;15,F57,My mother my mother came here first mother and father came first. Then two years later we came. We stayed in Dublin with my aunt for two years then we came up when they found a place. We came. Here in Dublin enjoyed. 
A,02:03:29;17,02:03:35;07,F71,This calls from other sister she never had children. 
A,02:03:35;12,02:03:43;08,F72,Very sweet. What was your first experience. 
A,02:03:49;15,02:04:10;18,F73,Experience that I have in this state. I mean. Yeah I guess so. Ms. It was just. Being. The. School system in school. 
A,02:04:20;16,02:04:49;25,F23,Traveling it was altogether different change compared to down there with you. You know the. School system. A whole. Environment. To a certain extent like you know your shopping. Education you are just all that bomb and you know like there are more opportunities. 
A,02:04:51;11,02:05:14;12,F73,Yes you know a young them. So the people there wasn't that friendly but says more opportunities and we worked to that advantage of that. So that's what that concept of. Is tomorrow be a better day. That's what your dream was because of what it is today. 
A,02:05:14;16,02:05:56;27,F61,Tomorrow a better day. Foster. First a little bit more than the southern states because they'll tell you this is this and this is that still it takes time even to the day some of the things are still still nasty. What traditions or customs have you made to. Say like. 
A,02:06:04;24,02:06:15;13,F51,All those things you know those things will be wonderful things. 
A,02:06:16;29,02:06:33;02,F73,Yes I think other family family get together can't beat us and so sorry I missed it this time. You know I didn't miss Thanksgiving. I'm saying this is the thing. Yes. 
A,02:06:33;27,02:06:52;11,F57,That's when I couldn't make that is just the way I felt. You know it's just this sense of pleasure to look forward to that every year. That never changes. Anything else that you made a custom you that. 
A,02:06:55;19,02:07:03;02,F59,Like anything that you said when you were coming to that. I think this may change my life. 
A,02:07:04;13,02:07:28;10,F57,Even if there is something Southern about yes it was the love and care of this one. One thing the bond that the family always wanted to keep that. And be here for each other and do the right thing. That was the main thing that I always. Always. 
A,02:07:29;04,02:07:30;12,F68,Felt that way. You know. 
A,02:07:34;14,02:07:39;16,F43,Let me know if you get cold I close the door. No I'm. 
A,02:08:05;08,02:08:18;11,F77,Tottenham. Do you know why. Why did you sign sat now. Because my father was her cousins. 
A,02:08:19;23,02:08:27;29,F78,And came up with his cousins and that's room. So yes family to. 
A,02:08:33;07,02:09:03;11,F60,And we talk about this. So once you got your. Word. Yes you feel French Ellen. Your family say. 
A,02:09:05;14,02:09:22;25,F80,No. It is one place we got the larger place. We moved out the killing. Fisher was a smaller place at first smaller than that and was in a larger place. And then. 
Q,02:09:29;14,02:09:36;19,F64,In this area you said it's family time. What was the cause of. 
A,02:09:39;06,02:09:45;25,F81,Move from Georgia up here. I mean when you said. Oh. 
A,02:09:46;20,02:09:54;26,F73,I was sick of the apartment there and I had to buy a house. And that's when I bought this house here. It's been here since. 
A,02:10:02;11,02:10:04;00,F67,Stories. You have your brand. 
A,02:10:09;08,02:10:29;11,F57,On my mother's side is the most loving caring family that they have is. And I said that wasn't that loving caring close you know what my mother always there's always a loving caring. 
A,02:10:33;18,02:10:34;12,F60,Anything. 
A,02:10:35;08,02:10:47;10,F73,Well your grand mom is finally in home. No I don't want to. 
A,02:10:57;13,02:11:02;02,F61,Anything else anything else you've been told about them. 
A,02:11:02;02,02:11:03;26,F83,No I don't. 
A,02:11:07;19,02:11:11;07,F16,How much will we have to do that to make us. 
A,02:11:11;07,02:11:32;05,F60,No we can stop stop here. After my father having kids get him something to eat when he come home. Can you come in. 
A,02:11:33;10,02:11:50;16,F43,Early tomorrow are you busy tomorrow. Oh yeah. This is cut short tonight not fix him and you come in come in tomorrow. That's fine. We. Maybe better. OK. What was that Stephanie for. It's for. 
A,02:11:55;17,02:11:57;20,F59,A project. 
A,02:11:58;16,02:12:30;18,M16,So she's been to basically take all the answers and when I ask myself the same question and she's asking so let's get to merge them all together. Like almost like they're all part of the brain. Oh so it's like man a brain that had all of our knowledge in mind. And. 
A,02:12:33;08,02:12:45;16,F82,That's three generations just that isn't like merging at all. 
A,02:12:45;16,02:12:58;08,F43,But we have to say in our background. Yeah until like oh. Oh good if you say come tomorrow. 
A,02:12:58;27,02:13:05;07,F64,Or either one of you will come and go. And I'll make sure I might have something for. 
A,02:13:06;04,02:13:13;19,F43,Them For Dunnam when you come home with a few more views and then stop having any more of that. 
Q,02:13:18;29,02:13:22;23,F77,How old is he. I don't think I would go that. No. 
Q,02:13:24;02,02:13:35;12,F70,OK so anything about this ancestor. 
Q,02:13:39;29,02:13:45;24,F84,You're asking about my life. 
